                     

WYKRES 0


*********************************DLA 5 WEZLOW*********************************


	Druga pochodna wzorami:
	0	0.478147	-0.958147	0.478147	0
	Druga pochodna z ilorazu roznicowego:
	1.46581e-09	0.0449432	-1.99003	0.0449432	1.46581e-09	             -5	    1.38879e-11
            0.8	       0.877167
            0.9	       0.945818
              1	              1
            1.1	        1.03871
            1.2	        1.06339
            1.3	        1.07606
            1.4	        1.07878
            1.5	        1.07356
            1.6	        1.06247
            1.7	        1.04753
            1.8	        1.03078
            1.9	        1.01425
              2	              1
            2.1	       0.989622
            2.2	       0.983005
            2.3	       0.979603
            2.4	       0.978871
            2.5	       0.980263
            2.6	       0.983234
            2.7	       0.987239
            2.8	       0.991732
            2.9	       0.996167
              3	              1
            3.1	         1.0028
            3.2	        1.00459
            3.3	        1.00553
            3.4	        1.00574
            3.5	        1.00538
            3.6	        1.00459
            3.7	        1.00352
            3.8	         1.0023
            3.9	        1.00108
              4	              1
            4.1	       0.999182
            4.2	       0.998622
            4.3	       0.998292
            4.4	       0.998163
            4.5	       0.998206
            4.6	       0.998392
            4.7	       0.998694
            4.8	       0.999081
            4.9	       0.999526
              5	              1
*********************************DLA 20 WEZLOW*********************************


	Druga pochodna wzorami:
	0	0	0	0	0	0	0	0	0	8	-8	0	0	0	0	0	0	0	0	0
	Druga pochodna z ilorazu roznicowego:
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	             -5	             -1
           -4.9	             -1
           -4.8	             -1
           -4.7	             -1
           -4.6	             -1
           -4.5	             -1
           -4.4	      -0.999997
           -4.3	      -0.999994
           -4.2	      -0.999992
           -4.1	      -0.999994
             -4	             -1
           -3.9	       -1.00001
           -3.8	       -1.00002
           -3.7	       -1.00003
           -3.6	       -1.00002
           -3.5	             -1
           -3.4	      -0.999957
           -3.3	      -0.999914
           -3.2	      -0.999891
           -3.1	      -0.999912
             -3	             -1
           -2.9	       -1.00016
           -2.8	       -1.00032
           -2.7	       -1.00041
           -2.6	       -1.00033
           -2.5	             -1
           -2.4	      -0.999408
           -2.3	      -0.998798
           -2.2	      -0.998485
           -2.1	      -0.998781
             -2	             -1
           -1.9	       -1.00221
           -1.8	       -1.00448
           -1.7	       -1.00566
           -1.6	       -1.00455
           -1.5	             -1
           -1.4	      -0.991756
           -1.3	      -0.983264
           -1.2	      -0.978894
           -1.1	      -0.983016
             -1	             -1
           -0.9	       -1.03077
           -0.8	       -1.06246
           -0.7	       -1.07877
           -0.6	       -1.06338
           -0.5	             -1
           -0.4	      -0.877169
           -0.3	      -0.702892
           -0.2	      -0.490031
           -0.1	      -0.251446
   -1.02696e-15	   -2.41474e-15
            0.1	       0.251446
            0.2	       0.490031
            0.3	       0.702892
            0.4	       0.877169
            0.5	              1
            0.6	        1.06338
            0.7	        1.07877
            0.8	        1.06246
            0.9	        1.03077
              1	              1
            1.1	       0.983016
            1.2	       0.978894
            1.3	       0.983264
            1.4	       0.991756
            1.5	              1
            1.6	        1.00455
            1.7	        1.00566
            1.8	        1.00448
            1.9	        1.00221
              2	              1
            2.1	       0.998781
            2.2	       0.998485
            2.3	       0.998798
            2.4	       0.999408
            2.5	              1
            2.6	        1.00033
            2.7	        1.00041
            2.8	        1.00032
            2.9	        1.00016
              3	              1
            3.1	       0.999912
            3.2	       0.999891
            3.3	       0.999914
            3.4	       0.999957
            3.5	              1
            3.6	        1.00002
            3.7	        1.00003
            3.8	        1.00002
            3.9	        1.00001
              4	              1
            4.1	       0.999994
            4.2	       0.999992
            4.3	       0.999994
            4.4	       0.999997
            4.5	              1
            4.6	              1
            4.7	              1
            4.8	              1
            4.9	              1
              5	              1
                     

WYKRES 2


*********************************DLA 5 WEZLOW*********************************


	Druga pochodna wzorami:
	0	-0.19507	-0.687684	-0.19507	0
	Druga pochodna z ilorazu roznicowego:
	3.34511	-1.13087	-3.98668	-1.13087	3.34511	             -5	      -0.839072
           -4.9	      -0.793612
           -4.8	      -0.748158
           -4.7	      -0.702714
           -4.6	      -0.657286
           -4.5	      -0.611879
           -4.4	      -0.566499
           -4.3	       -0.52115
           -4.2	      -0.475839
           -4.1	       -0.43057
             -4	      -0.385348
           -3.9	       -0.34018
           -3.8	      -0.295069
           -3.7	      -0.250022
           -3.6	      -0.205044
           -3.5	       -0.16014
           -3.4	      -0.115315
           -3.3	     -0.0705754
           -3.2	     -0.0259253
           -3.1	      0.0186295
             -3	      0.0630838
           -2.9	       0.107432
           -2.8	        0.15167
           -2.7	       0.195791
           -2.6	        0.23979
           -2.5	       0.283662
           -2.4	       0.327381
           -2.3	       0.370839
           -2.2	       0.413905
           -2.1	        0.45645
             -2	       0.498344
           -1.9	       0.539458
           -1.8	       0.579662
           -1.7	       0.618826
           -1.6	       0.656822
           -1.5	       0.693518
           -1.4	       0.728787
           -1.3	       0.762497
           -1.2	       0.794521
           -1.1	       0.824727
             -1	       0.852986
           -0.9	       0.879169
           -0.8	       0.903146
           -0.7	       0.924788
           -0.6	       0.943965
           -0.5	       0.960546
           -0.4	       0.974404
           -0.3	       0.985408
           -0.2	       0.993428
           -0.1	       0.998335
   -1.02696e-15	              1
            0.1	       0.998335
            0.2	       0.993428
            0.3	       0.985408
            0.4	       0.974404
            0.5	       0.960546
            0.6	       0.943965
            0.7	       0.924788
            0.8	       0.903146
            0.9	       0.879169
              1	       0.852986
            1.1	       0.824727
            1.2	       0.794521
            1.3	       0.762497
            1.4	       0.728787
            1.5	       0.693518
            1.6	       0.656822
            1.7	       0.618826
            1.8	       0.579662
            1.9	       0.539458
              2	       0.498344
            2.1	        0.45645
            2.2	       0.413905
            2.3	       0.370839
            2.4	       0.327381
            2.5	       0.283662
            2.6	        0.23979
            2.7	       0.195791
            2.8	        0.15167
            2.9	       0.107432
              3	      0.0630838
            3.1	      0.0186295
            3.2	     -0.0259253
            3.3	     -0.0705754
            3.4	      -0.115315
            3.5	       -0.16014
            3.6	      -0.205044
            3.7	      -0.250022
            3.8	      -0.295069
            3.9	       -0.34018
              4	      -0.385348
            4.1	       -0.43057
            4.2	      -0.475839
            4.3	       -0.52115
            4.4	      -0.566499
            4.5	      -0.611879
            4.6	      -0.657286
            4.7	      -0.702714
            4.8	      -0.748158
            4.9	      -0.793612
              5	      -0.839072
*********************************DLA 10 WEZLOW*********************************


	Druga pochodna wzorami:
	0	1.2363	-8.15845	5.55393	-0.474994	-0.474994	5.55393	-8.15845	1.2363	0
	Druga pochodna z ilorazu roznicowego:
	3.34511	0.580063	-3.8279	2.60587	1.65905	1.65905	2.60587	-3.8279	0.580063	3.34511	             -5	      -0.839072
           -4.9	       -0.80336
           -4.8	      -0.765609
           -4.7	      -0.723779
           -4.6	      -0.675833
           -4.5	       -0.61973
           -4.4	      -0.553431
           -4.3	      -0.474898
           -4.2	      -0.382091
           -4.1	      -0.272972
             -4	        -0.1455
           -3.9	    0.000735676
           -3.8	        0.15964
           -3.7	       0.323489
           -3.6	        0.48456
           -3.5	        0.63513
           -3.4	       0.767477
           -3.3	       0.873878
           -3.2	       0.946609
           -3.1	       0.977947
             -3	        0.96017
           -2.9	       0.888519
           -2.8	       0.770093
           -2.7	       0.614955
           -2.6	       0.433169
           -2.5	       0.234796
           -2.4	      0.0299007
           -2.3	      -0.171454
           -2.2	      -0.359205
           -2.1	      -0.523289
             -2	      -0.653644
           -1.9	      -0.742733
           -1.8	      -0.793134
           -1.7	      -0.809951
           -1.6	      -0.798291
           -1.5	      -0.763256
           -1.4	      -0.709952
           -1.3	      -0.643485
           -1.2	      -0.568958
           -1.1	      -0.491477
             -1	      -0.416147
           -0.9	      -0.347221
           -0.8	       -0.28555
           -0.7	      -0.231135
           -0.6	      -0.183975
           -0.5	      -0.144071
           -0.4	      -0.111422
           -0.3	     -0.0860279
           -0.2	     -0.0678895
           -0.1	     -0.0570065
   -1.02696e-15	     -0.0533788
            0.1	     -0.0570065
            0.2	     -0.0678895
            0.3	     -0.0860279
            0.4	      -0.111422
            0.5	      -0.144071
            0.6	      -0.183975
            0.7	      -0.231135
            0.8	       -0.28555
            0.9	      -0.347221
              1	      -0.416147
            1.1	      -0.491477
            1.2	      -0.568958
            1.3	      -0.643485
            1.4	      -0.709952
            1.5	      -0.763256
            1.6	      -0.798291
            1.7	      -0.809951
            1.8	      -0.793134
            1.9	      -0.742733
              2	      -0.653644
            2.1	      -0.523289
            2.2	      -0.359205
            2.3	      -0.171454
            2.4	      0.0299007
            2.5	       0.234796
            2.6	       0.433169
            2.7	       0.614955
            2.8	       0.770093
            2.9	       0.888519
              3	        0.96017
            3.1	       0.977947
            3.2	       0.946609
            3.3	       0.873878
            3.4	       0.767477
            3.5	        0.63513
            3.6	        0.48456
            3.7	       0.323489
            3.8	        0.15964
            3.9	    0.000735676
              4	        -0.1455
